"IdAlumno","PromedioAcum","Genero"
"A21765",85.195,"M"
"A21773",87.891,"M"
"A21776",77.114,"M"
"A21781",88.54,"F"
"A21784",96.285,"M"
"A21785",87.466,"F"
"A21786",77.162,"M"
"A21787",87.6,"M"
"A21788",87.106,"M"
"A21790",89.638,"M"
"A21797",87.522,"M"
"A21798",88.49,"F"
"A21799",83.684,"M"
"A21800",92.464,"F"
"A21801",77.796,"F"
"A21804",75.64,"M"
"A21810",79.188,"F"
"A21813",89.68,"F"
"A21817",83.343,"M"
"A21821",84.8,"M"
"A21823",93.8,"M"
"A21830",87.628,"F"
"A21832",84.925,"M"
"A21838",79.328,"M"
"A21839",78.278,"M"
"A21847",84.142,"M"
"A21848",87.075,"M"
"A21849",64.45,"M"
"A21850",75.216,"F"
"A21851",88.764,"M"
"A21852",81.323,"M"
"A21855",91.041,"F"
"A21856",83.333,"M"
"A21858",81.048,"F"
"A21859",81.92,"M"
"A21860",85.68,"F"
"A21861",62.875,"F"
"A21864",84.3,"M"
"A21867",77.109,"M"
"A21871",81.242,"M"
"A21882",80.841,"M"
"A21885",72.723,"M"
"A21887",81.833,"M"
"A21888",86,"F"
"A21889",83.68,"M"
"A21891",78,"F"
"A21893",88.826,"F"
"A21895",90.483,"F"
"A21900",77.189,"M"
"A21903",84.25,"F"
"A21908",86.88,"M"
"A21909",91.894,"F"
"A21910",94.346,"F"
"A21924",85.903,"F"
"A21929",86.384,"F"
"A21931",73.666,"M"
"A21935",88.916,"M"
"A21936",87,"M"
"A21937",96.541,"F"
"A21941",87.133,"M"
"A21942",86.02,"M"
"A21945",74.181,"M"
"A21950",83.066,"F"
"A21951",83.125,"M"
"A21953",93.125,"M"
"A21956",87.941,"F"
"A21957",90.937,"F"
"A21958",91.312,"F"
"A21960",90.23,"M"
"A21965",83.555,"M"
"A21966",94.384,"F"
"A21967",96.23,"F"
"A21968",81.066,"M"
"A21970",89.333,"F"
"A21974",82.071,"F"
"A21976",94.363,"F"
"A21977",81.897,"M"
"A21979",91.166,"M"
"A21980",84.923,"M"
"A21983",84.071,"F"
"A21984",83.261,"F"
"A21985",82.803,"M"
"A21986",88.26,"F"
"A22387",70.791,"M"
"A22594",74.541,"M"
"A22603",84.557,"F"
"A22617",81.035,"M"
"A22639",84.529,"M"
"A22654",76.976,"M"
"A22666",94.408,"M"
"A22667",86.528,"F"
"A22668",81.304,"M"
"A22669",89.733,"F"
"A22673",74.162,"M"
"A22674",88.615,"M"
"A22679",83.302,"F"
"A22695",88.687,"F"
"A22696",86.755,"M"
"A22702",77.045,"M"
"A22707",90.155,"M"
"A22728",75.731,"M"
"A22731",79.032,"M"
"A22732",74.378,"M"
"A22750",96.763,"F"
"A22752",87.6,"F"
"A22757",81.555,"M"
"A22758",84.5,"M"
"A22759",96.76,"M"
"A22760",85.128,"M"
"A22763",78.366,"M"
"A22764",84.888,"M"
"A22767",73.586,"F"
"A22770",73.947,"M"
"A22775",86.435,"M"
"A22782",88.263,"M"
"A22786",87.71,"M"
"A22788",74.833,"M"
"A22789",87.875,"M"
"A22799",90.444,"F"
"A22800",71.45,"M"
"A22801",86.6,"M"
"A22805",85.13,"M"
"A22807",87.333,"F"
"A22810",81.724,"M"
"A22814",90.888,"F"
"A22816",87.296,"M"
"A22817",77.415,"M"
"A22828",74.086,"F"
"A22829",70.181,"M"
"A22841",79.904,"M"
"A22842",96.833,"F"
"A22849",86.304,"M"
"A22851",92,"F"
"A22852",83.823,"F"
"A22853",90.689,"M"
"A22854",93.571,"M"
"A22856",93.56,"F"
"A22859",96.352,"F"
"A22860",75.076,"M"
"A22866",90.851,"F"
"A22867",95.925,"F"
"A22868",89.095,"F"
"A22869",71.243,"M"
"A22873",84.672,"F"
"A22875",83.321,"M"
"A22876",88.619,"M"
"A22878",73.109,"M"
"A22880",73.301,"M"
"A22883",95.923,"M"
"A22885",75.681,"M"
"A22888",72.28,"M"
"A22889",68.725,"M"
"A22890",87.689,"F"
"A22891",94.148,"M"
"A22892",68,"M"
"A22893",95.529,"M"
"A22894",93.196,"M"
"A22895",87.745,"F"
"A22899",0,"M"
"A22900",0,"F"
"A22902",80.812,"M"
"A22903",85.23,"M"
"A22904",90.083,"M"
"A22905",84.902,"M"
"A22910",88.02,"M"
"A22913",91.25,"M"
"A22914",83.076,"M"
"A22915",91.166,"F"
"A22916",75.086,"F"
"A22922",91.745,"M"
"A22924",71.465,"M"
"A22927",0,"M"
"A22929",78.2,"M"
"A22930",75.577,"M"
"A22931",80.615,"F"
"A22932",70,"M"
"A22934",0,"M"
"A22936",88.093,"M"
"A22939",82.179,"M"
"A22941",0,"F"
"A22942",0,"M"
"A22943",96.766,"F"
